
Episode 900 finished after 311 time steps with total reward = -9757.00, explorations = 15, exploitations = 286, last epsilon used = 0.46329802172888124.
Episode 0 finished after 307 time steps with total reward = -9762.00, explorations = 21, exploitations = 272, last epsilon used = 1.
Episode 100 finished after 379 time steps with total reward = -9765.00, explorations = 15, exploitations = 328, last epsilon used = 0.05.
Episode 200 finished after 329 time steps with total reward = -9760.00, explorations = 31, exploitations = 287, last epsilon used = 0.857205969570888.
Episode 300 finished after 309 time steps with total reward = -9759.00, explorations = 20, exploitations = 281, last epsilon used = 0.8000255819490795.
Episode 400 finished after 295 time steps with total reward = -9761.00, explorations = 23, exploitations = 263, last epsilon used = 0.7296738648992792.
Episode 500 finished after 291 time steps with total reward = -9761.00, explorations = 22, exploitations = 265, last epsilon used = 0.6668416716372578.
Episode 600 finished after 291 time steps with total reward = -9759.00, explorations = 18, exploitations = 266, last epsilon used = 0.6173981515854621.
Episode 700 finished after 361 time steps with total reward = -9763.00, explorations = 23, exploitations = 314, last epsilon used = 0.05.
Episode 800 finished after 296 time steps with total reward = -9761.00, explorations = 16, exploitations = 271, last epsilon used = 0.522921346063882.
Episode 900 finished after 315 time steps with total reward = -9761.00, explorations = 21, exploitations = 285, last epsilon used = 0.4846335495759935.
Episode 0 finished after 349 time steps with total reward = -9758.00, explorations = 35, exploitations = 298, last epsilon used = 1.
Episode 100 finished after 293 time steps with total reward = -9760.00, explorations = 10, exploitations = 273, last epsilon used = 0.05.
Episode 200 finished after 340 time steps with total reward = -9756.00, explorations = 42, exploitations = 277, last epsilon used = 0.8606433826830369.
Episode 300 finished after 356 time steps with total reward = -9756.00, explorations = 29, exploitations = 298, last epsilon used = 0.7984263308107633.
Episode 400 finished after 336 time steps with total reward = -9754.00, explorations = 33, exploitations = 289, last epsilon used = 0.7451668707698216.
Episode 500 finished after 319 time steps with total reward = -9757.00, explorations = 21, exploitations = 287, last epsilon used = 0.698248920785887.
Episode 600 finished after 218 time steps with total reward = -9843.00, explorations = 19, exploitations = 191, last epsilon used = 0.05.
Episode 700 finished after 352 time steps with total reward = -9753.00, explorations = 30, exploitations = 305, last epsilon used = 0.5931777522066654.
Episode 800 finished after 352 time steps with total reward = -9759.00, explorations = 35, exploitations = 300, last epsilon used = 0.547550162317433.
Episode 900 finished after 351 time steps with total reward = -9756.00, explorations = 29, exploitations = 298, last epsilon used = 0.5141024461386688.
Episode 0 finished after 226 time steps with total reward = -9848.00, explorations = 12, exploitations = 200, last epsilon used = 0.05.
Episode 100 finished after 331 time steps with total reward = -9753.00, explorations = 24, exploitations = 296, last epsilon used = 0.9286373107007023.
Episode 200 finished after 528 time steps with total reward = -9728.00, explorations = 179, exploitations = 312, last epsilon used = 0.8546369224228781.
Episode 300 finished after 300 time steps with total reward = -9766.00, explorations = 15, exploitations = 271, last epsilon used = 0.05.
Episode 400 finished after 356 time steps with total reward = -9753.00, explorations = 32, exploitations = 306, last epsilon used = 0.7362738857656108.
Episode 500 finished after 298 time steps with total reward = -9763.00, explorations = 11, exploitations = 277, last epsilon used = 0.05.
Episode 600 finished after 674 time steps with total reward = -9726.00, explorations = 207, exploitations = 391, last epsilon used = 0.6330355783788719.
Episode 700 finished after 379 time steps with total reward = -9752.00, explorations = 35, exploitations = 322, last epsilon used = 0.5896275715050474.
Episode 800 finished after 446 time steps with total reward = -9728.00, explorations = 79, exploitations = 341, last epsilon used = 0.5497458494385241.
Episode 900 finished after 487 time steps with total reward = -9724.00, explorations = 85, exploitations = 373, last epsilon used = 0.5115370697939825.
Episode 0 finished after 571 time steps with total reward = -9746.00, explorations = 216, exploitations = 307, last epsilon used = 1.
Episode 100 finished after 423 time steps with total reward = -9749.00, explorations = 64, exploitations = 326, last epsilon used = 0.933294459381294.
Episode 200 finished after 403 time steps with total reward = -9745.00, explorations = 70, exploitations = 299, last epsilon used = 0.8710385479118223.
Episode 300 finished after 378 time steps with total reward = -9748.00, explorations = 32, exploitations = 319, last epsilon used = 0.8178301806491574.
Episode 400 finished after 786 time steps with total reward = -9728.00, explorations = 289, exploitations = 391, last epsilon used = 0.766337129875968.
Episode 500 finished after 573 time steps with total reward = -9722.00, explorations = 137, exploitations = 357, last epsilon used = 0.7137884761549381.
Episode 600 finished after 462 time steps with total reward = -9725.00, explorations = 101, exploitations = 344, last epsilon used = 0.6595429797320621.
Episode 700 finished after 221 time steps with total reward = -9841.00, explorations = 13, exploitations = 192, last epsilon used = 0.05.
Episode 800 finished after 429 time steps with total reward = -9725.00, explorations = 66, exploitations = 343, last epsilon used = 0.5704779919833761.
Episode 900 finished after 425 time steps with total reward = -9725.00, explorations = 54, exploitations = 345, last epsilon used = 0.5313596336427661.
Episode 0 finished after 313 time steps with total reward = -9755.00, explorations = 17, exploitations = 287, last epsilon used = 0.05.
Episode 100 finished after 725 time steps with total reward = -9728.00, explorations = 307, exploitations = 350, last epsilon used = 0.9249283295681431.
Episode 200 finished after 738 time steps with total reward = -9734.00, explorations = 306, exploitations = 357, last epsilon used = 0.8537822855004553.
Episode 300 finished after 633 time steps with total reward = -9721.00, explorations = 193, exploitations = 386, last epsilon used = 0.7896874231428072.
Episode 400 finished after 427 time steps with total reward = -9728.00, explorations = 60, exploitations = 338, last epsilon used = 0.7362738857656108.
Episode 500 finished after 414 time steps with total reward = -9722.00, explorations = 45, exploitations = 345, last epsilon used = 0.685786704656174.
Episode 600 finished after 386 time steps with total reward = -9719.00, explorations = 40, exploitations = 329, last epsilon used = 0.6311383701174348.
Episode 700 finished after 323 time steps with total reward = -9756.00, explorations = 23, exploitations = 291, last epsilon used = 0.05.
Episode 800 finished after 397 time steps with total reward = -9725.00, explorations = 39, exploitations = 343, last epsilon used = 0.5372398118510032.
Episode 900 finished after 494 time steps with total reward = -9703.00, explorations = 91, exploitations = 370, last epsilon used = 0.49940033441307996.
Episode 0 finished after 765 time steps with total reward = -9727.00, explorations = 363, exploitations = 331, last epsilon used = 1.
Episode 100 finished after 384 time steps with total reward = -9726.00, explorations = 34, exploitations = 333, last epsilon used = 0.933294459381294.
Episode 200 finished after 778 time steps with total reward = -9724.00, explorations = 296, exploitations = 416, last epsilon used = 0.8754068367770318.
Episode 300 finished after 297 time steps with total reward = -9764.00, explorations = 13, exploitations = 275, last epsilon used = 0.05.
Episode 400 finished after 242 time steps with total reward = -9846.00, explorations = 8, exploitations = 217, last epsilon used = 0.05.
Episode 500 finished after 433 time steps with total reward = -9722.00, explorations = 43, exploitations = 364, last epsilon used = 0.7130746876787832.
Episode 600 finished after 385 time steps with total reward = -9727.00, explorations = 27, exploitations = 333, last epsilon used = 0.6621877602947683.
Episode 700 finished after 638 time steps with total reward = -9704.00, explorations = 140, exploitations = 441, last epsilon used = 0.6149322608990545.
Episode 800 finished after 389 time steps with total reward = -9723.00, explorations = 25, exploitations = 350, last epsilon used = 0.5744873593512512.
Episode 900 finished after 366 time steps with total reward = -9752.00, explorations = 18, exploitations = 334, last epsilon used = 0.05.
Episode 0 finished after 135 time steps with total reward = -9929.00, explorations = 8, exploitations = 109, last epsilon used = 0.05.
Episode 100 finished after 424 time steps with total reward = -9726.00, explorations = 57, exploitations = 338, last epsilon used = 0.9379749638258457.
Episode 200 finished after 431 time steps with total reward = -9728.00, explorations = 41, exploitations = 366, last epsilon used = 0.8727832416118043.
